CODIGO,DESCRIPCION,Codigo Medsys,
117635,ECO DE CUELLO,'5320000401000201,
113518,RX COLUMNA DORSAL 1 POSICION,'5320000101000401,
117683,ECO DOPPLER EMBARAZO,'5320000403000406,
117734,TAC DE TORAX,'5320000501000303,
113515,RX COLUMNA CERVICAL 1 POSICION,'5320000101000302,
113549,ECO DE ABDOMEN TOTAL,'5320000401000403,
117573,RX RODILLA 4 POSICIONES,'5320000102000904,
117752,TAC ANGIO CUELLO-CAROTIDAS,'5320000502000201,
117624,ECO DE PARED ABDOMINAL,'5320000401000108,
117506,RX COLUMNA CERVICAL 4 POSICIONES,'5320000101000305,
117579,RX TOBILLO 2 POSICIONES,'5320000102001102,
117581,RX TOBILLO 4 POSICIONES,'5320000102001104,
117732,TAC DE CUELLO,'5320000501000202,
117766,TAC BIOPSIA GUIADA,'5320000505000102,
117496,RX SENOS PARANASALES 2 POSICIONES,'5320000101000203,
113525,RX TORAX 2 POSICIONES,'5320000101000802,
113530,RX BRAZO 2 POSICIONES,'5320000102000202,
117532,RX TORAX OSEO 3 POSICIONES,'5320000101000807,
117550,RX BRAZO 4 POSICIONES,'5320000102000203,
117828,RM ANGIO EXTREMIDAD INFERIOR,'5320000602000701,
117622,ECO DE MANO,'5320000401000106,
117711,TAC DE CRANEO,'5320000501000101,
117514,RX COLUMNA LUMBAR 3 POSICIONES,'5320000101000503,
337369,ECO ENDOVAGINAL,'5320000401000408,
117754,TAC ANGIO PULMONAR,'5320000502000302,
113538,RX RODILLA 1 POSICION,'5320000102000901,
113546,ECO DE MAMA BILATERAL,'5320000401000303,
117554,RX ANTEBRAZO 1 POSICION,'5320000102000401,
117749,TAC DE PIERNA,'5320000501000703,
117533,RX ESTERNON 1 POSICION,'5320000101000808,
117763,TAC DE PERFUSION CEREBRO O CUERPO,'5320000502000802,
117580,RX TOBILLO 3 POSICIONES,'5320000102001103,
117497,RX SENOS PARANASALES 3 POSICIONES,'5320000101000204,
117655,ECO DIAGNOSTICO FETAL 1 TRI,'5320000401000502,
117681,ECO DOPPLER RENAL,'5320000403000403,
117756,TAC ANGIO CAVA VENOSO RENAL,'5320000502000403,
113519,RX COLUMNA LUMBAR 1 POSICION,'5320000101000501,
113553,ECO DE PROSTATA TRANSABDOMINAL,'5320000401000412,
113541,RX PIERNA 2 POSICIONES,'5320000102001002,
117651,ECO DE PROSTATA TRANSRECTAL,'5320000401000413,
117684,ECO DOPPLER ESCROTO,'5320000403000407,
113542,RX TOBILLO 1 POSICION,'5320000102001101,
117871,RX FLUOROSCOPIA 2 MINUTOS,'5320000801000306,
113527,RX ABDOMEN 1 POSICION,'5320000101000901,
117744,TAC DE BRAZO,'5320000501000601,
117504,RX COLUMNA CERVICAL 2 POS,'5320000101000303,
117747,TAC DE MANO,'5320000501000604,
117715,TAC DE SENOS PARANASALES,'5320000501000107,
113510,RX CRANEO 1 POSICION,'5320000101000102,
117699,ECO PUNCION BIOPSIA,'5320000404000102,
313474,MAMOGRAFIA POR TOMOSINTESIS BILATERAL,'53200312058,
117569,RX FEMUR 4 POSICIONES,'5320000102000803,
113526,RX TORAX OSEO 1 POSICION,'5320000101000805,
113524,RX TORAX 1 POSICION,'5320000101000801,
117536,RX ABDOMEN 2 POSICIONES,'5320000101000902,
117547,RX PERFILOGRAMA Y WATERS,'5320000102000108,
117564,RX DEDOS DE MANO MULTIVISTA,'5320000102000605,
117738,TAC DE ABDOMEN TOTAL,'5320000501000403,
117546,RX HOMBRO 4 POSICIONES,'5320000102000106,
117698,ECO DOPPLER VENOSO EXT INF,'5320000403000602,
117745,TAC DE HOMBRO,'5320000501000602,
113554,ECO DE REGION INGUINAL,'5320000401000416,
117577,RX PIERNA 4 POSICIONES,'5320000102001003,
117746,TAC DE CODO,'5320000501000603,
117534,RX ESTERNON 2 POSICIONES,'5320000101000809,
117733,TAC DE COLUMNA DORSAL,'5320000501000301,
117488,RX PIE 6 POSICIONES,'5320000101000115,
117509,RX COLUMNA DORSAL 2 POSICIONES,'5320000101000402,
113531,RX CODO 1 POSICION,'5320000102000301,
113544,RX PIE 2 POSICIONES,'5320000102001202,
117644,ECO DE APENDICE,'5320000401000404,
117653,ECO DE REGION INGUINAL,'5320000401000416,
117736,TAC DE COLUMNA LUMBAR,'5320000501000401,
117611,MAMOGRAFIA BILATERAL,'5320000301000102,
113514,RX PERFILOGRAMA,'5320000101000213,
117620,ECO DE BRAZO,'5320000401000104,
117566,RX ART COXOFEMORAL 2 POSICIONES,'5320000102000703,
113555,ECO DE EMBARAZO,'5320000401000501,
117659,ECO DE HOMBRO,'5320000401000602,
117731,TAC DE COLUMNA CERVICAL,'5320000501000201,
117567,RX FEMUR 1 POSICIONES,'5320000102000801,
117490,RX RODILLA 3 POSICIONES,'5320000101000117,
117753,TAC ANGIO CORAZON-CORONARIAS,'5320000502000301,
117660,ECO DE CODO,'5320000401000603,
117545,RX HOMBRO 3 POSICIONES,'5320000102000105,
117543,RX HOMBRO 1 POSICION,'5320000102000103,
117531,RX TORAX OSEO 2 POSICIONES,'5320000101000806,
117740,TAC UROLOGICO,'5320000501000405,
113520,RX COLUMNA LUMBAR 2 POSICIONES,'5320000101000502,
113535,RX MANO 1 POSICION,'5320000102000601,
113533,RX ANTEBRAZO 2 POSICIONES,'5320000102000402,
117645,ECO DE PELVIS,'5320000401000406,
117626,ECO DE TESTICULO,'5320000401000110,
117584,RX PIE 4 POSICIONES,'5320000102001203,
117739,TAC DE ABDOMEN INFERIOR,'5320000501000404,
117714,TAC DE CARA-MACIZO FACIAL,'5320000501000106,
113532,RX CODO 2 POSICIONES,'5320000102000302,
113528,RX HOMBRO 2 POSICIONES,'5320000102000104,
117718,TAC DE ANTEBRAZO,'5320000501000112,
117553,RX CODO 4 POSICIONES,'5320000102000303,
117662,ECO DE TOBILLO-TENDON AQUILES,'5320000401000703,
117489,RX PIES CON APOYO 4 POSICIONES,'5320000101000116,
117492,RX WATERS,'5320000101000119,
113512,RX SENOS PARANASALES 1 POSICION,'5320000101000202,
117737,TAC DE ABDOMEN SUPERIOR,'5320000501000402,
113537,RX FEMUR 2 POSICIONES,'5320000102000802,
117621,ECO DE FEMUR,'5320000401000105,
117735,TAC DE CORONARIAS-INDICIE CALCIO,'5320000501000304,
